STT,Tháng,Ngày phân bổ,Mã kiểu xe,Loại xe,Phiên bản,Tên màu ngoại thất,Tên màu T.A,Tên màu nội thất,Số khung,Số máy,Năm SX,Mã XHĐ,Vị trí xe vật lý/Kho,Tên SR phụ trách,Tên SR xếp xe,Ghi chú,Hợp đồng tạm xếp,Ngày xếp xe,Ngày xếp xe tạm,Trung tâm tạm xếp xe,Ngày hóa đơn đầu vào,Ngày hóa đơn bán,Ngày nhập xe về kho,Hợp đồng,Ngày giao xe,Ngày vận tải,Mã đơn vị vận tải,Tên đơn vị vận tải
233,9,12/09/2026,VF501,VF5,Plus,Xanh dương,Vinfast Blue,Màu Đen,RLNV5JSE0RH727933,VFCAFB247250082,2024,N31904,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,,Xe DEMO thanh lý nhập bổ sung để khớp kho,,,,,,,12/09/2026,,,,,
234,9,12/09/2026,VF605,VF6,Plus,Màu đỏ Ruby,Solar Ruby,Màu Be,RLLVAG8C8TH818369,VFBALB267210227,2026,N31923,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,TC2,,,,,13/09/2026,,14/09/2026,,,,,
235,9,12/09/2026,PD1U02,VF8,Plus,Đỏ,Crimson Red,Màu Đen,RLLV1AUA0RV713207,VFBALB241080006; VFBALA241220106,2026,N31901,Kho xe SR Cam Giá,Ô tô Vinfast Times City,,Xe DEMO thanh lý nhập bổ sung để khớp kho,,,,,,,12/09/2026,,,,,
236,9,12/09/2026,VF609,VF6,Plus,Xanh Lá Nhạt,Urban Mint,Màu Mocha Nâu,RLLVAG8C1TH835272,VFBALB269030143,2026,N31923,,Ô tô Vinfast 03/2,,TC2,,,,,13/09/2026,,,,,,,
237,9,12/09/2026,VF703,VF7,Plus,Xanh Rêu,Deep Ocean,Màu Đen,RLLV3EMB7RH731051,VFCAJB248080076; VFCAJB248070058,2024,N31904,Kho xe ô tô Thuận An,Ô tô Vinfast Times City,,Xe DEMO thanh lý nhập bổ sung để khớp kho,,,,,,,12/09/2026,,,,,
238,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu nâu,RLLV3FUVXTH837677,,2026,N31922,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Times City,,N31922-VSO-26-06-0028/Bùi Thị Sắc Yên,,,,,,,15/09/2026,,,,,
239,9,12/09/2026,VF503,VF5,Plus,Xanh Lá Nhạt,Urban Mint,Màu Đen,RLNV5JSE4TH838802,VFCAFB269090170,2026,N31916,,Ô tô Vinfast Minh Đạo - Ocean Park2,,,,,,,,,,,,,,
240,9,12/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K1TT746382,,2026,N31901,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,TC2,,15/09/2026,,,13/09/2026,16/09/2026,15/09/2026,02.0700/09/2026/HĐMB-MDP,,,,
241,9,12/09/2026,VF305,VF3,Plus,Xám,Zenith Grey,Màu Đen,RLNVBL9K6TT746149,TZ160X30G26072300277,2026,N31912,,Ô tô Vinfast Bắc Ninh,,TC2,,,,,13/09/2026,,,,,,,
242,9,12/09/2026,VF503,VF5,Plus,Xanh Lá Nhạt,Urban Mint,Màu Đen,RLNV5JSEXTH838772,VFCAFB267230224,2026,N31916,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,,,,,,,,,14/09/2026,,,,,
243,9,12/09/2026,VF605,VF6,Plus,Trắng,White,Màu Mocha Nâu,RLLVAG8C8TH835947,VFBALB269040167,2026,N31921,,Ô tô Vinfast Bắc Ninh,,TC2,,,,,,,,,,,,
244,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K9TT746064,TZ160X30G26072900060,2026,N31914,,Ô tô Vinfast Mê Linh,,TC2,,,,,13/09/2026,,,,,,,
245,9,12/09/2026,PE1U06,VF9,Plus_metal_3zones,Trắng,White,Màu nâu,RLLV2CFA6TH823190,VFBALB268220197; VFBALA267070058,2026,N31922,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,,,,,,,,,15/09/2026,,,,,
246,9,12/09/2026,VF603,VF6,ECO,Trắng,White,Màu Đen,RLLVAGND1TH833812,VFCAJB268260366,2026,N31921,,Ô tô Vinfast Minh Đạo - Ocean Park2,,bản TC,,,,,,,,,,,,
247,9,12/09/2026,VF603,VF6,ECO,Trắng,White,Màu Đen,RLLVAGND9TH836540,VFCAJB268190256,2026,N31921,,Ô tô Vinfast Minh Đạo - Ocean Park2,,bản TC,,,,,,,,,,,,
248,9,12/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K0TT745028,,2026,N31901,,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,TC2,,16/09/2026,,,,,,02.0451/09/2026/HĐMB-MDP,,,,
249,9,12/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K7TT744863,,2026,N31915,,Ô tô Vinfast Minh Đạo - Tân Thịnh,Ô tô Vinfast Minh Đạo - Tân Thịnh,TC2,02.0676/09/2026/HĐMB-MDP,15/09/2026,15/09/2026,Ô tô Vinfast Minh Đạo - Tân Thịnh,14/09/2026,15/09/2026,,02.0676/09/2026/HĐMB-MDP,,,,
250,9,12/09/2026,VF706,VF7,ECO,Trắng,White,Màu Đen,RLLV3F5D2TH834701,VFCAJB268300066,2026,N31921,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Bắc Ninh,,TC2 - không HUD,,,,,,,15/09/2026,,,,,
251,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Trắng,White,Màu đen Limo,RLLVFPNT6TH813340,ENBALB266210087,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,,,,,,,,16/09/2026,,,,,
252,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Trắng,White,Màu đen Limo,RLLVFPNT0TH813530,ENBALB266170184,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Thuận An,,,,,,,,,16/09/2026,,,,,
253,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Trắng,White,Màu đen Limo,RLLVFPNT9TH814997,ENBALB266070397,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,,,,,,,,16/09/2026,,,,,
254,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Trắng,White,Màu đen Limo,RLLVFPNT1TH818803,ENBALB266110431,2026,N31920,,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,,,,,,,,,,,,,
255,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Trắng,White,Màu đen Limo,RLLVFPNT5TH819680,ENBALB265300015,2026,N31920,,Ô tô Vinfast 03/2,,,,,,,,,,,,,,
256,9,12/09/2026,VF8THMMNC,VF8,Thế hệ mới Màu nâng cao,Đỏ nóc đen,Jet Black Roof- Solar Ruby,Màu Đen,RLLV3FUV5TH838297,VFLANB268080088,2026,N31922,,Ô tô Vinfast Times City,,N31922-VSO-26-06-0018/Trần Trung Thành,,,,,,,,,,,,
