STT,Tháng,Ngày phân bổ,Mã kiểu xe,Loại xe,Phiên bản,Tên màu ngoại thất,Tên màu T.A,Tên màu nội thất,Số khung,Số máy,Năm SX,Mã XHĐ,Vị trí xe vật lý/Kho,Tên SR phụ trách,Tên SR xếp xe,Ghi chú,Hợp đồng tạm xếp,Ngày xếp xe,Ngày xếp xe tạm,Trung tâm tạm xếp xe,Ngày hóa đơn đầu vào,Ngày hóa đơn bán,Ngày nhập xe về kho,Hợp đồng,Ngày giao xe,Ngày vận tải,Mã đơn vị vận tải,Tên đơn vị vận tải
163,9,12/09/2026,VF609,VF6,Plus,Xanh Lá Nhạt,Urban Mint,Màu Mocha Nâu,RLLVAG8C9TH818476,VFBALB267300081,2026,N31923,,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,TC2,,,,,13/09/2026,,,,,,,
164,9,12/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K1TT746379,TZ160X30G26072700089,2026,N31913,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2,,,,,13/09/2026,,16/09/2026,,,,,
165,9,12/09/2026,VF707,VF7,Plus_metal,Trắng,White,Màu Mocha Nâu,RLLV3FKC1TH833695,VFBALB268260082,2026,N31921,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,,TC2 -1 cầu,,,,,12/09/2026,,14/09/2026,,,,,
166,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K1TT745152,TZ160X30G26072300055,2026,N31913,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2,,,,,13/09/2026,,16/09/2026,,,,,
167,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu nâu,RLLV3FUV9TH837718,VFLANB269050166,2026,N31922,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Times City,,,,,,,12/09/2026,,14/09/2026,,,,,
168,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K0TT745479,TZ160X30G26072200257,2026,N31920,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,TC2,,,,,13/09/2026,,16/09/2026,,,,,
169,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV1TH835655,,2026,N31901,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,,02.0664/09/2026/HĐMB-MDP,16/09/2026,16/09/2026,Ô tô Vinfast Cam Giá,12/09/2026,16/09/2026,14/09/2026,02.0664/09/2026/HĐMB-MDP,,,,
170,9,12/09/2026,VF501,VF5,Plus,Trắng,White,Màu Đen,RLNV5JSE5TH838744,VFCAFB269090035,2026,N31911,,Ô tô Vinfast Vũng Tàu,,,,,,,13/09/2026,,,,,,,
171,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu nâu,RLLV3FUV0TH837686,VFLANB268090013,2026,N31915,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Minh Đạo - Tân Thịnh,,N31915-VSO-26-05-0093,,,,,,,16/09/2026,,,,,
172,9,12/09/2026,VF707,VF7,Plus_metal,ĐEN,Black,Màu Mocha Nâu,RLLV3FKC6TH838939,VFBALB269050107,2026,N31921,,Ô tô Vinfast Bắc Ninh,,TC2 - 1 cầu,,,,,,,,,,,,
